year,month,day,exercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022,2,13,straight arm pulldown,14.0,20.0,12,20.0,10.0,20.0,0,0.0
2022,2,13,Weighted push ups,4.0,20.0,6,15.0,5.0,15.0,6,12.5
2022,2,13,wide row,10.0,55.0,10,55.0,8.0,55.0,0,0.0
2022,2,15,ATG split squat,6.0,29.0,6,29.0,5.0,29.0,0,0.0
2022,2,15,leg curls,11.0,5.0,9,5.0,9.0,5.0,0,0.0
2022,2,15,Sissy squats,9.0,0.0,8,0.0,8.0,0.0,0,0.0
2022,2,15,Sumo DL,5.0,110.0,6,105.0,6.0,105.0,6,105.0
2022,2,18, band Triceps pushdowns,16.0,0.0,15,0.0,14.0,0.0,0,0.0
2022,2,18,Axelpress,6.0,22.0,5,22.0,6.0,19.5,5,19.5
2022,2,18,decline press,12.0,0.0,10,0.0,9.0,0.0,0,0.0
2022,2,18,inverted row,12.0,0.0,12,0.0,12.0,0.0,0,0.0
2022,2,18,lat pulldown,10.0,60.0,8,60.0,10.0,55.0,0,0.0
2022,2,18,Weighted Pull ups,5.0,16.25,5,15.0,5.0,13.75,5,12.5
2022,2,20,Barbell hacksquat,5.0,112.5,4,112.5,4.0,110.0,4,110.0
2022,2,20,Rdls,14.0,95.0,12,95.0,11.0,95.0,0,0.0
2022,2,20,reverse nordics,16.0,0.0,12,0.0,11.0,0.0,0,0.0
2022,2,20,single leg machine curls,10.0,5.0,9,5.0,7.0,5.0,0,0.0
2022,2,22,Barbell curls,8.0,42.5,7,42.5,6.0,42.5,0,0.0
2022,2,22,decline push ups,9.0,0.0,6,0.0,6.0,0.0,6,0.0
2022,2,22,side lateral,18.0,0.0,18,0.0,18.0,0.0,0,0.0
2022,2,22,straight arm pulldown,16.0,20.0,14,20.0,12.0,20.0,0,0.0
2022,2,22,Weighted push ups,5.0,20.0,5,20.0,5.0,17.5,4,15.0
2022,2,22,wide row,12.0,55.0,11,55.0,10.0,55.0,0,0.0
2022,2,24,ATG split squat,7.0,29.0,7,29.0,7.0,29.0,0,0.0
2022,2,24,leg curls,12.0,5.0,10,5.0,8.0,5.0,0,0.0
2022,2,24,Sissy squats,9.0,0.0,8,0.0,8.0,0.0,0,0.0
