effektivitet,djup,ISO8601,kvalitet,sover,vaken
"100,0",01:15:56,2022-04-24 00:00:00,04:39:18,06:50:00,00:00:00
"100,0",02:00:13,2022-04-25 00:00:00,06:16:12,09:16:00,00:00:00
"94,0",02:17:24,2022-04-26 00:00:00,05:50:46,07:38:00,00:29:00
"95,6",02:46:28,2022-04-27 00:00:00,05:40:03,07:34:00,00:21:00
"96,6",02:01:45,2022-04-28 00:00:00,05:02:10,08:07:00,00:17:00
"98,9",02:21:00,2022-04-29 00:00:00,06:12:57,08:37:00,00:06:00
"95,2",02:18:20,2022-04-30 00:00:00,05:06:08,06:55:00,00:21:00
"93,0",01:59:00,2022-05-01 00:00:00,05:43:23,07:56:00,00:36:00
"100,0",02:31:17,2022-05-02 00:00:00,05:45:08,07:49:00,00:00:00
"83,0",03:31:27,2022-05-03 00:00:00,05:39:45,07:18:00,01:30:00
"83,4",02:26:15,2022-05-04 00:00:00,04:24:00,05:51:00,01:10:00
"78,1",02:03:40,2022-05-05 00:00:00,04:20:08,06:11:00,01:44:00
"100,0",00:45:34,2022-05-06 00:00:00,05:23:27,08:06:00,00:00:00
"91,3",02:36:00,2022-05-07 00:00:00,04:38:19,06:30:00,00:37:00
"99,4",03:26:40,2022-05-08 00:00:00,07:48:40,10:20:00,00:04:00
"91,7",01:16:36,2022-05-09 00:00:00,04:34:32,07:09:00,00:39:00
"100,0",03:48:32,2022-05-10 00:00:00,06:19:04,08:38:00,00:00:00
"93,1",02:30:00,2022-05-11 00:00:00,05:45:27,07:15:00,00:32:00
"100,0",02:44:39,2022-05-12 00:00:00,05:54:54,07:59:00,00:00:00
"97,1",03:06:48,2022-05-13 00:00:00,05:43:42,07:47:00,00:14:00
"99,3",02:05:14,2022-05-14 00:00:00,05:20:45,07:34:00,00:03:00
"85,9",02:32:46,2022-05-15 00:00:00,05:26:09,07:23:00,01:13:00
"100,0",02:30:41,2022-05-16 00:00:00,05:23:43,07:17:00,00:00:00
"100,0",03:05:36,2022-05-17 00:00:00,06:01:26,07:44:00,00:00:00
"95,0",02:59:02,2022-05-18 00:00:00,06:34:44,09:12:00,00:29:00
"85,7",01:43:58,2022-05-19 00:00:00,04:37:44,06:41:00,01:07:00
"94,8",03:26:30,2022-05-20 00:00:00,06:25:47,08:51:00,00:29:00
"97,0",02:19:04,2022-05-21 00:00:00,05:36:30,07:59:00,00:15:00
"92,8",02:48:16,2022-05-22 00:00:00,05:14:11,06:53:00,00:32:00
"98,3",03:05:36,2022-05-23 00:00:00,05:59:19,07:44:00,00:08:00
"96,2",03:19:42,2022-05-24 00:00:00,06:39:33,09:13:00,00:22:00
"100,0",02:15:00,2022-05-25 00:00:00,05:25:21,07:30:00,00:00:00
"90,0",03:22:17,2022-05-26 00:00:00,05:14:24,06:29:00,00:43:00
"92,8",03:46:30,2022-05-27 00:00:00,05:43:53,07:33:00,00:35:00
"93,6",04:45:00,2022-05-28 00:00:00,06:53:41,08:15:00,00:34:00
