exercise,set #,reps,weight,bodyweight,date
db shoulder press,3,4.0,22.0,78.405,2022-02-26
db shoulder press,4,6.0,19.5,78.405,2022-02-26
decline press,1,11.0,0.0,78.405,2022-02-26
decline press,2,9.0,0.0,78.405,2022-02-26
decline press,3,8.0,0.0,78.405,2022-02-26
lat pulldown,1,12.0,60.0,78.405,2022-02-26
lat pulldown,2,9.0,60.0,78.405,2022-02-26
lat pulldown,3,8.0,60.0,78.405,2022-02-26
inverted rows,1,11.0,0.0,78.405,2022-02-26
inverted rows,2,11.0,0.0,78.405,2022-02-26
inverted rows,3,9.0,0.0,78.405,2022-02-26
pull ups,1,5.0,16.25,78.405,2022-02-26
pull ups,2,5.0,15.0,78.405,2022-02-26
pull ups,3,4.0,12.5,78.405,2022-02-26
pull ups,4,5.0,10.0,78.405,2022-02-26
barbell hacksquat,1,5.0,110.0,77.08,2022-02-28
barbell hacksquat,2,4.0,110.0,77.08,2022-02-28
barbell hacksquat,3,4.0,105.0,77.08,2022-02-28
barbell hacksquat,4,4.0,105.0,77.08,2022-02-28
romanian deadlifts,1,14.0,95.0,77.08,2022-02-28
romanian deadlifts,2,12.0,95.0,77.08,2022-02-28
romanian deadlifts,3,12.0,95.0,77.08,2022-02-28
reverse nordics,1,14.0,0.0,77.08,2022-02-28
reverse nordics,2,12.0,0.0,77.08,2022-02-28
reverse nordics,3,20.0,0.0,77.08,2022-02-28
hamstring curls,1,11.0,5.0,77.08,2022-02-28
hamstring curls,2,9.0,5.0,77.08,2022-02-28
hamstring curls,3,8.0,5.0,77.08,2022-02-28
barbell curls,1,10.0,42.5,77.955,2022-03-02
barbell curls,2,8.0,42.5,77.955,2022-03-02
barbell curls,3,7.0,42.5,77.955,2022-03-02
decline push ups,1,9.0,0.0,77.955,2022-03-02
decline push ups,2,7.0,0.0,77.955,2022-03-02
decline push ups,3,6.0,0.0,77.955,2022-03-02
decline push ups,4,6.0,0.0,77.955,2022-03-02
ring push ups,1,6.0,5.0,77.955,2022-03-02
ring push ups,2,5.0,5.0,77.955,2022-03-02
ring push ups,3,5.0,5.0,77.955,2022-03-02
ring push ups,4,5.0,0.0,77.955,2022-03-02
side lateral,1,21.0,0.0,77.955,2022-03-02
side lateral,2,21.0,0.0,77.955,2022-03-02
side lateral,3,20.0,0.0,77.955,2022-03-02
straight arm pulldown,1,16.0,20.0,77.955,2022-03-02
straight arm pulldown,2,14.0,20.0,77.955,2022-03-02
straight arm pulldown,3,12.0,20.0,77.955,2022-03-02
wide grip rows,1,12.0,55.0,77.955,2022-03-02
wide grip rows,2,11.0,55.0,77.955,2022-03-02
wide grip rows,3,10.0,55.0,77.955,2022-03-02
atg split squats,1,5.0,34.0,78.79333333333334,2022-03-04
atg split squats,2,7.0,29.0,78.79333333333334,2022-03-04
atg split squats,3,7.0,29.0,78.79333333333334,2022-03-04
sumo dl,1,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,2,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,3,5.0,112.5,78.79333333333334,2022-03-04
sumo dl,4,5.0,110.0,78.79333333333334,2022-03-04
db shoulder press,1,6.0,22.0,79.575,2022-03-06
db shoulder press,2,5.0,22.0,79.575,2022-03-06
db shoulder press,3,7.0,19.5,79.575,2022-03-06
db shoulder press,4,6.0,19.5,79.575,2022-03-06
decline press,1,11.0,0.0,79.575,2022-03-06
decline press,2,10.0,0.0,79.575,2022-03-06
decline press,3,8.0,0.0,79.575,2022-03-06
lat pulldown,1,10.0,65.0,79.575,2022-03-06
lat pulldown,2,8.0,65.0,79.575,2022-03-06
lat pulldown,3,7.0,65.0,79.575,2022-03-06
inverted rows,1,11.0,0.0,79.575,2022-03-06
inverted rows,2,11.0,0.0,79.575,2022-03-06
inverted rows,3,11.0,0.0,79.575,2022-03-06
pull ups,1,5.0,16.25,79.575,2022-03-06
pull ups,2,5.0,13.75,79.575,2022-03-06
pull ups,3,4.0,12.5,79.575,2022-03-06
pull ups,4,5.0,10.0,79.575,2022-03-06
barbell hacksquat,1,5.0,110.0,79.78,2022-03-08
barbell hacksquat,2,5.0,110.0,79.78,2022-03-08
barbell hacksquat,3,5.0,110.0,79.78,2022-03-08
