year,month,day,effectivity,deep sleep,quality sleep,time asleep,time awake
2022,5,22,"92,8",10096000000000.0,18851000000000.0,24780000000000.0,1920000000000.0
2022,5,23,"98,3",11136000000000.0,21559000000000.0,27840000000000.0,480000000000.0
2022,5,24,"96,2",11982000000000.0,23973000000000.0,33180000000000.0,1320000000000.0
2022,5,25,"100,0",8100000000000.0,19521000000000.0,27000000000000.0,0.0
2022,5,26,"90,0",12137000000000.0,18864000000000.0,23340000000000.0,2580000000000.0
2022,5,27,"92,8",13590000000000.0,20633000000000.0,27180000000000.0,2100000000000.0
2022,5,28,"93,6",17100000000000.0,24821000000000.0,29700000000000.0,2040000000000.0
2022,5,29,"97,5",11723000000000.0,22968000000000.0,30660000000000.0,780000000000.0
2022,5,30,"86,5",9829000000000.0,17199000000000.0,25020000000000.0,3900000000000.0
2022,5,31,"96,7",11112000000000.0,20425000000000.0,27780000000000.0,960000000000.0
2022,6,1,"88,3",7075000000000.0,14987000000000.0,20340000000000.0,2700000000000.0
2022,6,2,"98,0",13359000000000.0,23654000000000.0,29580000000000.0,600000000000.0
2022,6,3,"93,9",8084000000000.0,19782000000000.0,29640000000000.0,1920000000000.0
2022,6,4,"86,5",8208000000000.0,20417000000000.0,27360000000000.0,4260000000000.0
2022,6,5,"90,9",11676000000000.0,20582000000000.0,28740000000000.0,2880000000000.0
2022,6,6,"73,7",2725000000000.0,15325000000000.0,19980000000000.0,7140000000000.0
2022,6,7,"91,0",9369000000000.0,20360000000000.0,24360000000000.0,2400000000000.0
2022,6,8,"86,4",0.0,15271000000000.0,21420000000000.0,3360000000000.0
2022,6,9,"96,7",10874000000000.0,20668000000000.0,26280000000000.0,900000000000.0
2022,6,10,"89,8",10281000000000.0,18800000000000.0,24300000000000.0,2760000000000.0
2022,6,11,"100,0",11048000000000.0,20576000000000.0,26700000000000.0,0.0
2022,6,12,"99,8",12038000000000.0,22445000000000.0,27780000000000.0,60000000000.0
2022,6,13,"90,2",6628000000000.0,21141000000000.0,30300000000000.0,3300000000000.0
2022,6,14,"96,9",11942000000000.0,19534000000000.0,26640000000000.0,840000000000.0
2022,6,15,"100,0",11611000000000.0,20976000000000.0,31260000000000.0,0.0
2022,6,16,"95,2",9450000000000.0,20015000000000.0,26460000000000.0,1320000000000.0
2022,6,17,"89,7",11996000000000.0,21789000000000.0,26760000000000.0,3060000000000.0
2022,6,18,"91,4",11895000000000.0,22817000000000.0,29280000000000.0,2760000000000.0
2022,6,19,"94,0",8204000000000.0,17617000000000.0,23700000000000.0,1500000000000.0
2022,6,20,"100,0",11070000000000.0,24000000000000.0,29520000000000.0,0.0
2022,6,21,"95,7",12150000000000.0,20366000000000.0,24300000000000.0,1080000000000.0
2022,6,22,"100,0",9958000000000.0,21681000000000.0,30780000000000.0,0.0
2022,6,23,"89,6",12442000000000.0,20849000000000.0,28440000000000.0,3300000000000.0
2022,6,24,"91,3",5525000000000.0,15390000000000.0,23940000000000.0,2280000000000.0
2022,6,25,"97,3",10230000000000.0,21753000000000.0,27900000000000.0,780000000000.0
2022,6,26,"88,7",11304000000000.0,21330000000000.0,28260000000000.0,3600000000000.0
2022,6,27,"93,8",11839000000000.0,20428000000000.0,25500000000000.0,1680000000000.0
2022,6,28,"92,8",11913000000000.0,23854000000000.0,30240000000000.0,2340000000000.0
2022,6,29,"97,4",10880000000000.0,18562000000000.0,24480000000000.0,660000000000.0
2022,6,30,"97,9",6395000000000.0,19507000000000.0,28320000000000.0,600000000000.0
2022,7,1,"97,9",12925000000000.0,23903000000000.0,28620000000000.0,600000000000.0
2022,7,2,"96,6",10262000000000.0,21305000000000.0,28920000000000.0,1020000000000.0
2022,7,3,"90,9",7289000000000.0,17415000000000.0,24600000000000.0,2460000000000.0
2022,7,4,"98,3",13244000000000.0,23139000000000.0,28380000000000.0,480000000000.0
2022,7,5,"69,4",876000000000.0,20652000000000.0,31320000000000.0,11880000000000.0
2022,7,6,"95,5",9000000000000.0,19507000000000.0,27000000000000.0,1260000000000.0
2022,7,7,"100,0",11200000000000.0,19186000000000.0,25200000000000.0,0.0
2022,7,8,"100,0",10100000000000.0,23228000000000.0,30300000000000.0,0.0
2022,7,9,"100,0",13573000000000.0,25658000000000.0,33480000000000.0,0.0
2022,7,10,"94,7",16875000000000.0,24921000000000.0,30000000000000.0,1680000000000.0
2022,7,11,"97,1",10136000000000.0,19588000000000.0,25800000000000.0,780000000000.0
2022,7,12,"91,5",8118000000000.0,18632000000000.0,27060000000000.0,2520000000000.0
2022,7,13,"93,7",17584000000000.0,24769000000000.0,30540000000000.0,2040000000000.0
2022,7,14,"100,0",11990000000000.0,24937000000000.0,32280000000000.0,0.0
2022,7,15,"100,0",8981000000000.0,21564000000000.0,28740000000000.0,0.0
2022,7,16,"89,9",12060000000000.0,17914000000000.0,24120000000000.0,2700000000000.0
2022,7,17,"89,0",9406000000000.0,22372000000000.0,29160000000000.0,3600000000000.0
2022,7,18,"100,0",12625000000000.0,23986000000000.0,29760000000000.0,0.0
2022,7,19,"84,6",9735000000000.0,16659000000000.0,24780000000000.0,4500000000000.0
2022,7,20,"94,9",9708000000000.0,16748000000000.0,21180000000000.0,1140000000000.0
2022,7,21,"100,0",13577000000000.0,23614000000000.0,31680000000000.0,0.0
2022,7,22,"97,7",9145000000000.0,22366000000000.0,30180000000000.0,720000000000.0
2022,7,23,"95,5",14592000000000.0,26743000000000.0,31920000000000.0,1500000000000.0
2022,7,24,"100,0",9200000000000.0,20042000000000.0,27600000000000.0,0.0
2022,7,25,"95,6",13006000000000.0,22221000000000.0,28800000000000.0,1320000000000.0
2022,7,26,"89,4",3742000000000.0,17757000000000.0,25260000000000.0,3000000000000.0
2022,7,27,"100,0",12647000000000.0,24948000000000.0,32520000000000.0,0.0
2022,7,28,"90,2",10992000000000.0,20285000000000.0,27480000000000.0,3000000000000.0
